# Quantum-safety classification of JDK algorithm names, used by the pqc rule pack.
# Generated from the provider registry of JDK 26 (Oracle, Windows: SUN, SunRsaSign, SunEC,
# SunJSSE, SunJCE, SunMSCAPI) plus its TLS parameters and XML DSig SignatureMethod constants.
# PqcCatalogCompletenessTest fails when the running JDK exposes a name this file and the
# NOT_ASYMMETRIC prefixes in PqcCatalog do not classify: add the name here, do not widen a prefix.
# Columns (tab-separated): request type, classification, family, role, names (canonical first,
# then aliases and OIDs, comma-separated). Role is - for POST_QUANTUM.
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA3-256withRSA,2.16.840.1.101.3.4.3.14,OID.2.16.840.1.101.3.4.3.14
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA3-384withDSA,2.16.840.1.101.3.4.3.7,OID.2.16.840.1.101.3.4.3.7
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA3-384withDSAinP1363Format
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA3-384withECDSA,2.16.840.1.101.3.4.3.11,OID.2.16.840.1.101.3.4.3.11
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA3-384withECDSAinP1363Format
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA3-384withRSA,2.16.840.1.101.3.4.3.15,OID.2.16.840.1.101.3.4.3.15
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA3-512withDSA,2.16.840.1.101.3.4.3.8,OID.2.16.840.1.101.3.4.3.8
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA3-512withDSAinP1363Format
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA3-512withECDSA,2.16.840.1.101.3.4.3.12,OID.2.16.840.1.101.3.4.3.12
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA3-512withECDSAinP1363Format
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA3-512withRSA,2.16.840.1.101.3.4.3.16,OID.2.16.840.1.101.3.4.3.16
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA384withDSA,2.16.840.1.101.3.4.3.3,OID.2.16.840.1.101.3.4.3.3
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA384withDSAinP1363Format
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA384withECDSA,1.2.840.10045.4.3.3,OID.1.2.840.10045.4.3.3
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA384withECDSAinP1363Format
